p_GeV_c,sigma_xy_um
0.2130,160.20
0.2390,147.60
0.2640,131.10
0.2890,120.50
0.3150,108.70
0.3400,100.30
0.3650,91.60
0.3900,86.10
0.4150,79.60
0.4400,75.30
0.4650,70.00
0.4840,68.00
0.5150,63.10
0.5410,60.20
0.5760,57.00
0.6270,52.50
0.6760,48.40
0.7260,45.20
0.7660,43.10
0.8050,41.70
0.8490,39.30
0.8920,38.00
0.9410,36.60
1.0020,33.80
1.0910,32.30
1.1610,30.70
1.2140,28.90
1.2870,28.10
1.3580,26.90
1.4390,26.20
1.5180,24.80
1.6160,23.80
1.7130,22.60
1.9590,20.70
2.0300,20.30
2.1710,19.30
2.3010,18.50
2.5050,17.90
2.7030,17.30
2.9420,16.70
3.1600,16.50
3.4870,16.10
3.6790,15.90
3.8820,15.50
4.0770,15.30
4.3210,15.20
4.6420,14.80
