observable,experiment,collaboration,system,particle,centrality,sqrt_s_NN_GeV,beam_energy_A_GeV,value,stat_err_plus,stat_err_minus,syst_err_plus,syst_err_minus,source_citation,source_doi,data_source,data_source_doi,table_or_figure,extraction_method,notes
v2_selected_excitation,CERES,CERES/NA45,Pb+Au,charged hadrons,,8.84,,0.028,,,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,CERES charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,CERES,CERES/NA45,Pb+Au,charged hadrons,,12.36,,0.037,,,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,CERES charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,CERES,CERES/NA45,Pb+Au,charged hadrons,,17.26,,0.043,,,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,CERES charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,EOS/E895/E877,EOS/E895/E877,Au+Au,proton,5-7 fm,2.369,,-0.065,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,AGS/Bevalac proton comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,EOS/E895/E877,EOS/E895/E877,Au+Au,proton,5-7 fm,2.683,,-0.047,0.005,0.005,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,AGS/Bevalac proton comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,EOS/E895/E877,EOS/E895/E877,Au+Au,proton,5-7 fm,3.305,,-0.002,0.004,0.004,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,AGS/Bevalac proton comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,EOS/E895/E877,EOS/E895/E877,Au+Au,proton,5-7 fm,3.827,,0.016,0.003,0.003,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,AGS/Bevalac proton comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,EOS/E895/E877,EOS/E895/E877,Au+Au,proton,5-7 fm,4.287,,0.019,0.006,0.006,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,AGS/Bevalac proton comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,EOS/E895/E877,EOS/E895/E877,Au+Au,proton,5-7 fm,4.857,,0.022,0.005,0.005,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,AGS/Bevalac proton comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,1.907,,0.071,0.008,0.008,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,1.922,,0.03,0.005,0.005,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,1.936,,-0.01,0.004,0.004,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,1.984,,-0.058,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,2.053,,-0.08,0.012,0.012,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,2.142,,-0.062,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,2.227,,-0.061,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,2.309,,-0.057,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,2.389,,-0.052,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,FOPI,FOPI,Au+Au,charged/Z=1 hadrons,0.25 < b0 < 0.45,2.503,,-0.041,0.007,0.007,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,FOPI SIS charged/Z=1 hadron excitation function.
v2_selected_excitation,NA49,NA49,Pb+Pb,charged hadrons,12-34%,8.84,,0.024,0.003,0.003,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,NA49 charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,NA49,NA49,Pb+Pb,charged hadrons,12-34%,17.26,,0.034,0.001,0.001,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,NA49 charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,PHOBOS,PHOBOS,Au+Au,charged hadrons,0-40%,19.6,,0.033,0.005,0.005,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,PHOBOS charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,PHOBOS,PHOBOS,Au+Au,charged hadrons,0-40%,58.4,,0.044,0.003,0.003,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,PHOBOS charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,PHOBOS,PHOBOS,Au+Au,charged hadrons,0-40%,130.0,,0.048,0.003,0.003,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,PHOBOS charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,PHOBOS,PHOBOS,Au+Au,charged hadrons,0-40%,200.0,,0.052,0.003,0.003,,,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t9,Figure 14,direct HEPData CSV,PHOBOS charged-hadron comparison set compiled in STAR FXT Fig. 14.
v2_selected_excitation,STAR,STAR,Au+Au,inclusive charged hadrons,10-40%,7.7,,0.04515,0.0005,0.0005,0.0023,0.0023,"L. Adamczyk et al. (STAR), Phys. Rev. C 86, 054908 (2012)",10.1103/PhysRevC.86.054908,STAR public data table,,STAR public data page pub190 Fig. 8,midrapidity average of tabulated +/-eta bins,"0.2<pT<2.0 GeV/c, |eta|~0.05 average; selected as the STAR BES charged-hadron series."
v2_selected_excitation,STAR,STAR,Au+Au,inclusive charged hadrons,10-40%,11.5,,0.0475,0.0002,0.0002,0.0024,0.0024,"L. Adamczyk et al. (STAR), Phys. Rev. C 86, 054908 (2012)",10.1103/PhysRevC.86.054908,STAR public data table,,STAR public data page pub190 Fig. 8,midrapidity average of tabulated +/-eta bins,"0.2<pT<2.0 GeV/c, |eta|~0.05 average; selected as the STAR BES charged-hadron series."
v2_selected_excitation,STAR,STAR,Au+Au,inclusive charged hadrons,10-40%,19.6,,0.04995,0.0001,0.0001,0.0025,0.0025,"L. Adamczyk et al. (STAR), Phys. Rev. C 86, 054908 (2012)",10.1103/PhysRevC.86.054908,STAR public data table,,STAR public data page pub190 Fig. 8,midrapidity average of tabulated +/-eta bins,"0.2<pT<2.0 GeV/c, |eta|~0.05 average; selected as the STAR BES charged-hadron series."
